Disaster Subtype_Ground movement,Continent_Africa,Continent_Americas,Continent_Asia,Continent_Europe,Continent_Oceania,Dis Mag Value,Latitude,Longitude,Injured
1,0,0,1,0,0,8,-3.924,101.82,GREEN
1,0,0,1,0,0,7,28,104,GREEN
1,0,1,0,0,0,6,14.38,-90.22,GREEN
1,0,0,1,0,0,7,23.5,117,GREEN
1,0,1,0,0,0,9,-28.553,-70.755,GREEN
1,0,0,1,0,0,7,31.295,100.75,GREEN
1,0,1,0,0,0,7,-1.29,-78.52,GREEN
1,0,0,1,0,0,7,-7.21,109.56,GREEN
1,0,0,1,0,0,7,25.713,100.422,GREEN
1,1,0,0,0,0,7,30.03,31.15,GREEN
1,0,0,1,0,0,6,-0.842,120.764,BLUE
1,0,0,0,1,0,6,-0.842,120.764,BLUE
0,0,1,0,0,0,7,48.6,58,BLUE
1,0,1,0,0,0,7,35.28,71.4,BLUE
1,0,0,0,1,0,7,38,23.44,BLUE
0,0,0,1,0,0,3,8.3,121.7,BLUE
1,0,0,1,0,0,7,0.5,126,ORANGE
1,0,0,1,0,0,8,31.9,103.4,ORANGE
1,0,0,1,0,0,7,6.1,94.7,GREEN
1,0,0,1,0,0,7,3.5,97.5,GREEN
1,0,0,1,0,0,8,-0.557,118.881,GREEN
1,1,0,0,0,0,6,5.552,-0.628,ORANGE
1,0,0,1,0,0,6,5.552,-0.628,ORANGE
1,0,1,0,0,0,6,-0.025,-79.955,ORANGE
1,0,1,0,0,0,8,-31.432,-71.475,BLUE
1,0,0,1,0,0,7,-8.591,109.803,RED
1,0,1,0,0,0,7,-31.372,68.436,RED
1,0,1,0,0,0,8,-26.5,-70.5,RED
1,0,1,0,0,0,8,19.25,-69,RED
1,1,0,0,0,0,8,35.75,5,RED
1,0,1,0,0,0,7,-1.5,-78.2,RED
1,0,1,0,0,0,7,-38,-73.5,ORANGE
1,0,1,0,0,0,8,-54,-71,GREEN
1,0,0,1,0,0,9,28.5,96.5,GREEN
1,0,1,0,0,0,9,7.8,-72.5,GREEN
1,0,1,0,0,0,9,18.3,73.2,GREEN
1,0,1,0,0,0,8,-37.093,-72.866,BLUE
1,0,0,1,0,0,6,34.741,32.335,YELLOW
1,0,0,0,1,0,7,38.182,20.942,RED
1,0,1,0,0,0,7,-22.1,-68.7,GREEN
1,1,0,0,0,0,7,36.283,1.467,RED
1,0,0,1,0,0,7,36,66,RED
1,0,0,0,1,0,7,39.3,22.2,ORANGE
1,0,0,1,0,0,8,30,101.8,ORANGE
1,1,0,0,0,0,6,32.2,29.6,BLUE
1,0,0,0,1,0,8,36.664,25.957,YELLOW
1,0,0,1,0,0,8,35.1,67.5,RED
1,0,0,0,1,0,8,37,-4,YELLOW
1,0,0,1,0,0,6,23,70,RED
1,0,1,0,0,0,6,23,70,BLUE
1,0,0,1,0,0,7,-9.5,112.5,RED
0,0,1,0,0,0,10,-38.143,-73.407,RED
1,1,0,0,0,0,6,36,4.1,RED
1,1,0,0,0,0,7,10.4,39.9,RED
1,0,0,0,1,0,6,40.9,19.5,ORANGE
1,0,1,0,0,0,7,5.173,-76.352,RED
1,0,0,0,1,0,5,38.8,-28.4,RED
1,0,0,1,0,0,8,-2.608,-125.952,RED
1,0,1,0,0,0,7,-32.522,-71.233,RED
1,1,0,0,0,0,6,35.7,4.4,RED
1,0,0,0,1,0,6,39.4,24,RED
1,0,1,0,0,0,8,-25.494,-70.55,GREEN
1,0,0,0,1,0,6,39.2,22,BLUE
1,0,0,0,1,0,6,37.5,22.1,ORANGE
1,0,0,1,0,0,6,-3.7,119.3,YELLOW
1,0,0,0,1,0,7,41.386,20.532,ORANGE
1,0,1,0,0,0,7,2.849,-74.798,ORANGE
1,0,0,0,1,0,5,43.2,-0.5,YELLOW
1,0,0,0,1,0,6,39.5,21.2,YELLOW
1,0,0,1,0,0,6,-8.965,113.017,ORANGE
1,0,0,1,0,0,7,17.412,73.885,RED
1,0,0,0,1,0,7,39.368,24.957,GREEN
1,0,0,0,0,1,7,-31.566,117.071,GREEN
0,0,0,1,0,0,8,0.157,119.802,GREEN
1,0,0,1,0,0,6,22.317,111.8,GREEN
1,1,0,0,0,0,6,11.9,41.21,ORANGE
0,0,0,1,0,0,7,-3.201,118.904,YELLOW
1,0,0,1,0,0,7,24.185,102.543,YELLOW
1,0,1,0,0,0,7,6.375,-77.438,GREEN
1,0,1,0,0,0,7,-4.026,-80.542,ORANGE
1,0,0,1,0,0,5,21.7,73,ORANGE
1,0,1,0,0,0,8,-32.601,-71.076,RED
1,0,1,0,0,0,7,10.679,-84.759,YELLOW
1,0,0,1,0,0,7,40.641,122.58,YELLOW
1,0,0,1,0,0,7,32.455,78.43,YELLOW
1,0,0,1,0,0,6,36.61,67.79,YELLOW
1,0,0,1,0,0,6,30.37,104.06,YELLOW
1,0,1,0,0,0,6,30.37,104.06,GREEN
1,0,1,0,0,0,7,0.782,79.804,GREEN
1,0,1,0,0,0,7,0.14,78.3,GREEN
1,0,0,1,0,0,7,-4.603,140.091,GREEN
1,0,0,1,0,0,7,-8.17,114.888,RED
1,0,0,1,0,0,7,-4.517,139.918,RED
1,0,0,1,0,0,8,-11.164,118.378,YELLOW
1,0,1,0,0,0,7,-31.028,-67.767,YELLOW
1,0,0,0,1,0,6,45.77,26.76,ORANGE
1,0,0,1,0,0,6,45.77,26.76,BLUE
1,0,0,0,1,0,6,40.739,23.229,YELLOW
0,0,0,1,0,0,8,40.5,142.5,YELLOW
1,0,0,0,1,0,6,40.8,72.3,YELLOW
1,0,0,1,0,0,6,39.09,42.3,YELLOW
0,0,0,1,0,0,7,37.4,142.6,YELLOW
1,0,0,0,1,0,7,38.67,16.07,RED
1,0,1,0,0,0,8,37.67,-122.48,RED
1,0,0,1,0,0,7,23.6,170.5,ORANGE
1,0,1,0,0,0,7,18.2,-76.8,ORANGE
1,0,0,0,1,0,7,18.2,-76.8,ORANGE
1,0,0,1,0,0,8,33.55,48.48,ORANGE
1,1,0,0,0,0,8,35.34,-5.22,ORANGE
1,0,0,1,0,0,8,40.41,27.15,RED
1,0,1,0,0,0,6,-14.2,-72.9,RED
1,0,0,0,1,0,7,43.5,25.5,RED
1,0,0,1,0,0,7,39.2,139.8,RED
1,0,1,0,0,0,6,32.47,-115.33,RED
1,0,0,1,0,0,8,8.29,124.4,RED
1,0,1,0,0,0,8,18.06,-67.54,RED
1,0,0,0,1,0,6,44.3,10.3,RED
1,0,0,1,0,0,6,35.2,59.2,RED
1,0,1,0,0,0,6,34.25,119.41,RED
1,0,0,1,0,0,6,31.922,35.633,RED
1,0,0,1,0,0,7,35.632,135.013,RED
1,0,0,0,1,0,7,35.632,135.013,RED
1,0,0,1,0,0,7,38.25,27.1,RED
1,0,0,0,0,1,8,-41.55,172.25,RED
1,0,0,1,0,0,7,37.8,57.8,RED
1,0,0,1,0,0,8,17.86,96.43,RED
1,0,0,1,0,0,7,38.087,44.781,RED
1,0,0,0,1,0,6,40.922,15.377,RED
1,0,0,1,0,0,7,35.05,139.129,RED
1,0,0,1,0,0,7,18.233,96.298,RED
1,0,1,0,0,0,6,13.2,-85.7,RED
1,0,0,0,0,1,7,-39.659,176.42,RED
0,0,0,0,0,1,8,11.117,161.11,RED
1,0,1,0,0,0,6,33.62,117.97,RED
0,0,0,1,0,0,8,39.224,144.622,RED
1,0,0,0,1,0,8,39.224,144.622,RED
1,0,0,1,0,0,6,24.3,124.3,RED
1,0,0,1,0,0,7,24.6,120.8,RED
1,0,0,1,0,0,7,39.508,33.872,RED
1,0,0,1,0,0,6,39.7,10.4,RED
1,0,0,1,0,0,6,39.209,27.164,YELLOW
1,0,1,0,0,0,8,-10.5,-77,RED
1,0,0,0,1,0,7,45.8,26.8,RED
1,0,0,1,0,0,7,38.4,35.5,RED
1,0,1,0,0,0,7,32.733,-115.5,RED
1,0,0,1,0,0,7,22.408,99.814,RED
1,0,0,1,0,0,7,40.87,36.732,RED
1,0,0,1,0,0,7,35.448,133.993,RED
1,0,1,0,0,0,5,-14.2,-71.5,RED
1,0,0,1,0,0,8,40.916,33.562,RED
0,0,0,1,0,0,8,33.682,36.204,RED
1,0,0,1,0,0,8,40.696,32.992,RED
1,0,0,1,0,0,7,39.502,26.596,RED
1,0,0,1,0,0,7,34.612,137.064,RED
1,0,0,1,0,0,8,24.927,63.601,RED
1,0,0,0,1,0,8,24.927,63.601,RED
1,0,0,0,1,0,8,24.927,63.601,RED
1,0,0,1,0,0,8,33.116,135.895,RED
0,0,1,0,0,0,9,53.492,-162.832,RED
1,0,1,0,0,0,7,-8.41,-77.535,RED
1,0,0,0,1,0,7,39.826,54.648,RED
1,0,0,1,0,0,6,39.3,41.2,RED
1,0,0,1,0,0,7,33.621,58.643,RED
1,0,1,0,0,0,8,-10.973,-74.725,RED
1,0,0,1,0,0,8,-10.973,-74.725,RED
1,0,0,1,0,0,7,36.5,136,RED
1,0,0,1,0,0,8,10.5,122,RED
1,0,0,0,1,0,7,39.2,70.8,RED
1,0,0,1,0,0,7,39,40.5,RED
1,0,1,0,0,0,7,47.167,-122.617,RED
1,0,1,0,0,0,6,-13.5,-72,ORANGE
1,0,1,0,0,0,6,13,-87.5,ORANGE
1,0,1,0,0,0,7,13.3,-87.8,ORANGE
1,0,0,1,0,0,7,40.8,33.4,ORANGE
1,0,0,1,0,0,8,42.084,143.899,ORANGE
0,0,0,0,1,0,8,52.623,159.779,ORANGE
1,0,0,1,0,0,5,36.5,35.5,ORANGE
1,0,0,1,0,0,6,39.9,41.7,RED
1,0,1,0,0,0,8,34.958,-118.998,ORANGE
1,0,1,0,0,0,6,35.333,-118.917,ORANGE
0,0,1,0,0,0,6,35.333,-118.917,ORANGE
1,0,0,1,0,0,7,35.385,54.979,ORANGE
1,0,1,0,0,0,7,-3.552,-80.636,GREEN
1,0,0,1,0,0,7,40.175,27.648,GREEN
1,0,0,1,0,0,7,13,123.9,ORANGE
1,0,0,1,0,0,6,7.674,124.081,RED
1,0,0,1,0,0,6,27.407,54.462,RED
1,0,0,1,0,0,6,35.5,35.5,ORANGE
1,0,1,0,0,0,8,16.5,-99.1,YELLOW
1,0,0,1,0,0,8,33.4,52.5,YELLOW
1,0,0,1,0,0,7,36100,52700,YELLOW
1,0,0,1,0,0,7,34.3,47.8,RED
1,0,0,1,0,0,8,45.5,99.5,RED
1,1,0,0,0,0,6,36.2,8.9,RED
1,0,0,1,0,0,7,40.7,30.9,ORANGE
1,0,0,1,0,0,7,34.4,47.9,RED
1,0,1,0,0,0,7,-16.5,-72,RED
1,0,1,0,0,0,7,44.712,-111.215,RED
1,0,1,0,0,0,6,18.22,-94.416,ORANGE
0,0,0,1,0,0,6,18.22,-94.416,ORANGE
1,0,1,0,0,0,8,-15.75,-72.75,ORANGE
0,0,1,0,0,0,10,-15.75,-72.75,ORANGE
1,0,0,1,0,0,6,28,54.5,ORANGE
0,0,0,1,0,0,6,28,54.5,ORANGE
1,0,0,0,1,0,6,41.4,15.5,ORANGE
1,1,0,0,0,0,5,32.6,21,RED
0,0,0,1,0,0,7,38.67,139.195,RED
0,0,1,0,0,0,9,60.908,-147.339,RED
1,0,1,0,0,0,7,18.136,-100.605,RED
1,0,0,1,0,0,7,40.203,28.206,YELLOW
1,0,0,1,0,0,7,23.2,120.6,RED
1,1,0,0,0,0,7,2.31,32.56,RED
1,0,1,0,0,0,6,13.5,-89.3,RED
1,0,1,0,0,0,7,47.4,-122.3,RED
1,0,1,0,0,0,8,-10.665,-78.228,RED
1,0,0,1,0,0,6,29.706,80.935,YELLOW
1,0,0,0,1,0,6,41.2,69.1,YELLOW
1,0,0,1,0,0,6,38.5,41.3,YELLOW
1,0,0,1,0,0,7,39.235,41.572,RED
1,1,0,0,0,0,1,0.622,29.863,RED
1,0,0,1,0,0,7,40.751,30.8,RED
1,0,0,1,0,0,7,40.5,140.43,RED
1,0,1,0,0,0,6,15.5,-92.7,RED
1,0,0,1,0,0,6,16.316,122.067,RED
1,0,0,1,0,0,7,41.86,32.463,ORANGE
1,0,0,1,0,0,5,39.2,44.3,YELLOW
1,0,0,1,0,0,7,34.158,59.083,RED
1,0,0,0,1,0,6,37.702,13.033,RED
1,0,1,0,0,0,5,12.1,-86.2,RED
1,0,0,0,0,1,7,-41.659,172.02,GREEN
1,0,1,0,0,0,7,-5.61,-77.086,ORANGE
1,0,0,1,0,0,6,37.1,57.9,RED
1,0,1,0,0,0,7,-11.841,-75.051,RED
1,0,0,1,0,0,7,38.515,28.546,RED
1,0,0,0,0,1,7,-4.999,145.396,GREEN
1,0,0,1,0,0,7,37.733,55.885,GREEN
1,0,1,0,0,0,7,-4.026,-80.542,RED
1,0,0,1,0,0,7,15.791,121.63,ORANGE
1,0,0,1,0,0,7,39.098,29.57,RED
1,0,0,0,1,0,5,42.5,11.8,YELLOW
1,0,0,1,0,0,6,37.6,29.8,YELLOW
1,0,0,1,0,0,7,38.934,40.653,RED
1,0,1,0,0,0,7,34.416,-118.37,RED
1,0,0,1,0,0,7,28.415,52.765,RED
1,0,0,0,1,0,5,43.8,13.3,RED
1,0,1,0,0,0,6,12.184,-86.223,RED
1,0,0,1,0,0,6,36,73.4,RED
1,0,1,0,0,0,6,-6.855,-76.726,RED
1,0,1,0,0,0,8,18.481,-102.996,RED
1,0,1,0,0,0,7,18.267,-96.598,RED
1,0,0,1,0,0,7,13.372,122.787,YELLOW
1,0,0,1,0,0,7,34.522,138.74,YELLOW
1,0,0,1,0,0,6,35.1,72.9,RED
1,0,1,0,0,0,8,-12.265,-77.795,RED
0,0,0,0,0,1,8,-7.104,155.152,RED
1,0,0,1,0,0,7,38.474,40.723,RED
1,0,0,1,0,0,8,6.262,124.023,RED
1,0,0,1,0,0,6,33.8,59.15,RED
1,0,0,0,1,0,6,66.157,-16.582,GREEN
1,0,0,0,1,0,7,46.356,13.275,RED
1,0,0,0,1,0,7,46.356,13.275,RED
1,0,0,0,0,1,8,-28.427,-177.657,RED
1,0,0,0,1,0,7,40.381,63.472,RED
1,0,0,1,0,0,5,41.13,43.01,GREEN
1,0,0,1,0,0,5,37.7,28.89,BLUE
1,0,0,1,0,0,7,39.121,44.029,RED
1,0,0,0,0,1,7,-9.828,160.323,GREEN
1,0,0,1,0,0,7,27.609,56.393,RED
1,0,0,1,0,0,6,31.98,50.68,ORANGE
1,0,0,1,0,0,5,38.934,44.38,GREEN
1,0,0,1,0,0,5,27.69,56.57,GREEN
1,0,0,1,0,0,6,30.95,56.47,RED
1,0,0,1,0,0,7,16.773,122.327,BLUE
1,0,0,0,1,0,8,45.772,26.761,RED
1,0,0,0,0,1,7,-22.878,-175.9,GREEN
1,0,0,1,0,0,5,38.56,40.02,GREEN
1,0,0,1,0,0,7,34.809,139.259,ORANGE
1,0,0,0,1,0,6,38.391,15.066,ORANGE
1,0,0,1,0,0,8,38.19,142.028,RED
1,0,0,1,0,0,6,16.4,43.5,ORANGE
1,0,1,0,0,0,7,10.5,-68,ORANGE
1,0,0,0,1,0,6,42.1,21.3,RED
1,1,0,0,0,0,7,42.1,21.3,RED
1,0,1,0,0,0,7,10.559,-67.33,RED
1,0,0,0,1,0,7,42,21.28,YELLOW
1,0,0,0,1,0,5,42.1,19.3,BLUE
1,0,0,0,1,0,6,44.9,17.3,RED
1,1,0,0,0,0,6,-33.268,19.386,RED
1,0,0,0,1,0,6,48.29,9.01,BLUE
1,0,1,0,0,0,5,14.321,-90.082,BLUE
1,0,1,0,0,0,8,1.598,-79.358,RED
1,0,0,0,1,0,7,42.096,19.209,RED
1,0,0,1,0,0,5,31.452,119.241,RED
1,0,0,1,0,0,6,41.145,108.129,ORANGE
1,0,1,0,0,0,7,4.805,-76.217,RED
0,0,0,0,1,0,7,43.7,7.25,GREEN
1,1,0,0,0,0,7,36.195,1.354,RED
1,0,0,0,1,0,7,38.815,-27.78,RED
1,0,1,0,0,0,6,-1.948,-80.017,BLUE
1,0,0,0,1,0,6,39.203,22.729,GREEN
1,0,1,0,0,0,5,8.117,-72.527,GREEN
1,0,0,0,1,0,6,39.481,20.699,GREEN
1,0,0,1,0,0,7,30.927,101.098,RED
1,0,0,0,1,0,7,38.222,22.934,RED
1,0,0,1,0,0,7,36.148,69.011,RED
1,0,0,0,1,0,6,40.883,19.59,GREEN
1,0,0,1,0,0,6,31.907,99.931,GREEN
1,0,1,0,0,0,5,14.53,87.72,GREEN
1,0,1,0,0,0,7,9.652,-83.688,YELLOW
1,0,0,1,0,0,7,34.01,71.4,RED
1,0,0,0,1,0,5,50.37,5.31,BLUE
1,0,1,0,0,0,7,-26.535,-70.563,BLUE
1,0,0,1,0,0,5,35.206,115.213,RED
1,0,1,0,0,0,5,2.461,-76.686,RED
1,0,1,0,0,0,7,8.717,-83.123,RED
1,1,0,0,0,0,6,11.866,-13.529,RED
1,0,0,0,1,0,6,38.294,20.262,GREEN
1,0,0,1,0,0,6,34.26,70.28,BLUE
1,0,1,0,0,0,7,-33.053,-68.467,RED
1,0,1,0,0,0,8,-33.135,-71.871,RED
1,0,0,1,0,0,6,25.926,102.871,RED
1,0,0,1,0,0,7,39.431,75.224,YELLOW
1,1,0,0,0,0,6,36.46,6.791,YELLOW
1,0,1,0,0,0,5,15.299,-90.863,YELLOW
1,0,0,0,1,0,5,43.12,25.57,YELLOW
1,0,1,0,0,0,5,3.58,62.42,YELLOW
1,0,0,1,0,0,6,31.24,86.847,YELLOW
1,0,0,0,1,0,6,37.02,22.07,RED
1,0,1,0,0,0,5,15.075,92.072,RED
1,0,1,0,0,0,7,-19.022,-69.991,ORANGE
1,0,1,0,0,0,7,0.151,-77.785,ORANGE
1,0,1,0,0,0,6,-0.978,-78.05,GREEN
1,0,0,1,0,0,6,41.529,79.318,GREEN
1,0,0,1,0,0,5,24.924,115.608,YELLOW
1,1,0,0,0,0,4,35.964,1.374,GREEN
1,0,0,0,1,0,6,37.938,20.932,BLUE
1,0,1,0,0,0,7,13.881,-90.45,BLUE
1,0,0,1,0,0,6,24.688,991.57,YELLOW
1,0,0,1,0,0,6,38.111,106.336,YELLOW
1,0,0,1,0,0,8,22.789,99.611,RED
1,1,0,0,0,0,5,36.443,2.759,YELLOW
1,0,1,0,0,0,6,13.881,-90.45,YELLOW
1,0,0,1,0,0,6,32.14,49.65,YELLOW
1,0,1,0,0,0,8,16.01,-96.591,YELLOW
1,0,0,1,0,0,8,-1.679,136.04,GREEN
0,0,0,1,0,0,8,8.8,123.5,BLUE
1,0,0,1,0,0,6,8.21,115.95,BLUE
1,0,0,1,0,0,6,-7.656,108.252,ORANGE
1,0,0,1,0,0,7,-3.299,102.712,ORANGE
1,0,0,1,0,0,6,-8.39,115.889,RED
1,0,0,1,0,0,7,33.897,59.472,ORANGE
1,0,0,1,0,0,7,33.918,59.741,YELLOW
1,0,0,1,0,0,7,33.962,59.726,BLUE
1,0,0,0,1,0,6,42.812,13.061,BLUE
1,0,1,0,0,0,8,17.813,-101.276,BLUE
1,0,1,0,0,0,7,-16.39,-72.658,RED
1,0,0,1,0,0,7,-16.39,-72.658,RED
1,0,0,1,0,0,6,32.913,75.633,BLUE
1,0,0,1,0,0,6,34.587,50.652,BLUE
1,0,0,1,0,0,5,34.503,50.59,YELLOW
1,0,0,1,0,0,6,35.4,51.26,YELLOW
1,0,0,0,1,0,7,40.914,15.366,RED
1,0,0,1,0,0,6,35.45,139.964,YELLOW
1,0,1,0,0,0,6,32.2,-115.122,YELLOW
1,0,1,0,0,0,7,18.211,-98.24,RED
1,0,0,1,0,0,7,29.598,81.092,RED
1,0,1,0,0,0,5,-13.347,-74.545,RED
1,0,0,1,0,0,7,-4.576,139.232,RED
1,0,0,1,0,0,6,35.693,73.594,RED
1,0,0,1,0,0,7,29.913,57.715,RED
1,0,0,1,0,0,7,30.013,57.794,RED
1,0,0,0,1,0,5,37.67,12.47,GREEN
1,0,0,0,1,0,5,41.051,14.601,GREEN
1,0,1,0,0,0,7,18.048,-102.084,BLUE
1,0,0,1,0,0,4,29.856,66.962,GREEN
1,0,1,0,0,0,5,-13.166,-74.522,YELLOW
1,0,1,0,0,0,5,-13.144,-74.376,GREEN
1,0,0,1,0,0,6,-8.405,123.08,RED
1,0,1,0,0,0,7,13.332,-89.387,RED
1,0,0,1,0,0,5,4.374,97.755,RED
1,0,0,1,0,0,7,42.158,142.361,YELLOW
1,0,0,0,1,0,7,42.158,142.361,YELLOW
1,0,0,0,1,0,4,43.164,12.586,YELLOW
1,0,1,0,0,0,7,16.558,-98.358,GREEN
1,0,1,0,0,0,6,-12.69,-76.065,GREEN
1,0,0,0,1,0,6,50.21,18.51,GREEN
1,0,0,1,0,0,7,18.231,120.86,ORANGE
1,0,0,1,0,0,5,35.953,52.264,YELLOW
1,0,0,1,0,0,5,35.5,139.07,BLUE
0,0,0,1,0,0,8,40.462,139.102,YELLOW
1,0,0,1,0,0,7,5.723,94.722,YELLOW
1,0,0,1,0,0,6,36.948,49.18,BLUE
1,0,0,0,1,0,6,40.5,14.15,BLUE
1,0,0,1,0,0,7,36.372,70.738,RED
1,0,1,0,0,0,5,-4.843,-78.103,RED
1,0,0,0,0,1,6,5.392,151.868,RED
1,0,0,1,0,0,7,36.39,138.1,RED
1,0,0,1,0,0,7,32.5,130.42,GREEN
1,0,0,1,0,0,6,2.41,118.55,YELLOW
1,0,0,1,0,0,5,1.3,98,ORANGE
1,0,0,1,0,0,6,24.4,92.34,YELLOW
1,0,0,0,1,0,6,43.07,12.23,ORANGE
1,0,0,0,1,0,5,42.1,13.5,YELLOW
1,0,0,0,1,0,5,37.31,15.06,GREEN
1,0,0,1,0,0,7,34.07,71.15,GREEN
1,0,0,1,0,0,6,-4.13,136.049,GREEN
1,0,0,1,0,0,5,28.399,52.997,YELLOW
1,0,1,0,0,0,8,18.19,-102.533,RED
1,0,0,1,0,0,7,36.19,70.896,BLUE
1,0,1,0,0,0,6,-9.159,-78.887,YELLOW
1,0,0,1,0,0,7,7.758,123.544,BLUE
1,0,0,0,0,1,7,-5.599,151.045,BLUE
1,0,0,0,0,1,7,4,142,BLUE
1,0,0,1,0,0,5,32.128,76.374,BLUE
1,0,0,1,0,0,6,29.962,51.582,GREEN
1,0,0,1,0,0,6,29.985,51.623,GREEN
1,0,0,1,0,0,5,27.727,66.65,GREEN
1,0,1,0,0,0,6,13.32,71.57,YELLOW
1,0,1,0,0,0,5,9.505,77.512,YELLOW
1,0,1,0,0,0,8,13.4,89.1,RED
1,0,0,1,0,0,7,-8.247,124.155,YELLOW
1,0,0,0,0,1,7,-6.088,147.689,YELLOW
1,0,0,1,0,0,6,2.244,98.866,GREEN
1,0,0,1,0,0,5,34.076,48.266,BLUE
1,0,0,1,0,0,6,35.38,140.214,YELLOW
1,0,1,0,0,0,7,33.015,-115.852,BLUE
1,0,0,0,0,1,7,-37.965,176.765,BLUE
1,0,0,1,0,0,6,29.974,51.679,BLUE
1,0,0,1,0,0,6,30.89,50.194,BLUE
1,0,0,1,0,0,7,26.755,86.616,RED
1,0,0,1,0,0,5,36.69,39.79,GREEN
1,0,0,0,1,0,7,42.096,19.209,YELLOW
1,0,0,0,1,0,6,42.255,18.752,YELLOW
1,0,0,0,1,0,6,43.294,20.837,YELLOW
1,0,1,0,0,0,5,8.045,-72.441,BLUE
1,0,0,0,1,0,6,44.849,17.312,BLUE
1,0,0,1,0,0,6,14.701,44.379,RED
1,0,1,0,0,0,6,19.43,-155.454,GREEN
1,0,0,0,1,0,5,39.042,48.714,GREEN
1,0,0,1,0,0,7,40.33,42.187,RED
1,0,1,0,0,0,5,36.219,-120.317,BLUE
1,0,1,0,0,0,5,43.974,-113.916,GREEN
1,0,0,0,1,0,5,41.959,21.54,GREEN
1,0,0,0,1,0,7,41.959,21.54,YELLOW
